date,daily_consumption,AWND,PRCP,TMAX,TMIN
2006-12-16,1209.176,2.5,0.0,10.6,5.0
2006-12-17,3390.46,2.6,0.0,13.3,5.6
2006-12-18,2203.826,2.4,0.0,15.0,6.7
2006-12-19,1666.194,2.4,0.0,7.2,2.2
2006-12-20,2225.748,2.4,0.0,7.2,1.1
2006-12-21,1716.624,2.3,0.0,12.2,3.3
2006-12-22,2341.338,2.3,11.9,9.4,3.9
2006-12-23,4773.386,3.0,19.8,15.0,8.9
2006-12-24,2550.012,3.4,0.0,11.1,6.1
2006-12-25,2743.12,2.2,9.4,7.2,3.9
2006-12-26,3934.11,3.3,2.0,11.7,6.1
2006-12-27,1528.76,3.4,0.0,6.1,3.3
2006-12-28,2072.638,2.3,0.0,8.9,2.2
2006-12-29,3174.392,2.1,0.0,8.9,2.8
2006-12-30,2789.302,2.1,0.0,8.3,1.1
2006-12-31,3494.196,2.1,0.0,7.2,0.6
2007-01-01,2749.004,1.7,38.6,13.3,7.2
2007-01-02,1269.236,3.8,0.0,10.0,5.0
2007-01-03,1014.054,2.6,0.0,11.1,3.3
2007-01-04,3259.412,3.6,0.0,13.3,6.1
2007-01-05,2713.364,2.6,0.8,16.7,11.7
2007-01-06,1508.378,3.4,0.3,22.2,12.2
2007-01-07,2447.62,2.7,4.3,12.2,6.7
2007-01-08,2241.36,3.6,31.8,13.3,3.3
2007-01-09,1869.054,3.1,0.0,6.7,1.1
2007-01-10,2154.8,3.6,0.0,2.2,-1.7
2007-01-11,2255.194,2.6,0.0,3.3,-3.3
2007-01-12,1461.296,3.4,0.3,8.9,2.8
2007-01-13,3186.814,2.6,1.5,13.3,7.2
2007-01-14,3007.816,1.9,2.3,7.8,5.0
2007-01-15,2148.678,1.7,1.5,13.9,4.4
2007-01-16,1686.404,4.3,0.0,12.8,-5.6
2007-01-17,2847.688,2.9,0.0,-1.7,-7.2
2007-01-18,1821.462,1.4,2.3,2.8,-3.9
2007-01-19,1480.44,3.4,2.3,5.0,-0.6
